symbol,entry_date,exit_date,entry_price,exit_price,shares,position_value,exit_value,pnl,pnl_pct,days_held,exit_reason,exit_strength
HINDUNILVR,2023-10-31,2023-11-15,2145.04,2256.12,4,8580.16,9024.48,444.3199999999997,0.05178458210569496,15,technical_exit_stoch_rsi_overbought+rsi_overbought,0.8999999999999999
RELIANCE,2023-11-13,2023-11-23,2922.42,2742.21,2,5844.84,5484.42,-360.4200000000001,-0.06166464779189851,10,stop_loss,1.0
INFY,2023-11-03,2023-11-27,851.77,758.95,8,6814.16,6071.6,-742.5599999999995,-0.10897307958721243,24,stop_loss,1.0
TCS,2023-11-21,2023-11-28,2150.34,1970.64,3,6451.02,5911.92,-539.1000000000004,-0.08356817991573427,7,stop_loss,1.0
HINDUNILVR,2023-11-20,2023-12-06,2301.4,2670.71,3,6904.200000000001,8012.13,1107.9299999999994,0.16047188667767442,16,target_achieved,1.0
RELIANCE,2023-11-24,2024-01-09,2924.61,2721.53,2,5849.22,5443.06,-406.15999999999985,-0.069438318271496,46,stop_loss,1.0
HDFCBANK,2023-11-30,2024-01-12,682.16,805.87,11,7503.759999999999,8864.57,1360.8100000000004,0.181350416324616,43,target_achieved,1.0
INFY,2024-01-12,2024-01-16,611.41,569.8,14,8559.74,7977.199999999999,-582.5400000000009,-0.06805580543334262,4,stop_loss,1.0
INFY,2024-01-18,2024-02-02,591.58,561.32,13,7690.540000000001,7297.160000000001,-393.3800000000001,-0.051151154535312195,15,stop_loss,1.0
RELIANCE,2024-02-01,2024-02-05,2610.58,2334.43,2,5221.16,4668.86,-552.3000000000002,-0.10578109079208456,4,stop_loss,1.0
HINDUNILVR,2024-01-03,2024-02-06,2780.59,3093.15,2,5561.18,6186.3,625.1199999999999,0.11240779834495554,34,technical_exit_macd_bearish+rsi_overbought,0.8999999999999999
HINDUNILVR,2024-02-07,2024-02-09,3092.4,2884.88,2,6184.8,5769.76,-415.03999999999996,-0.0671064545336955,2,stop_loss,1.0
HDFCBANK,2024-02-28,2024-03-04,817.1,773.11,9,7353.900000000001,6957.99,-395.91000000000076,-0.05383673968914455,5,stop_loss,1.0
INFY,2024-03-01,2024-03-15,507.88,478.79,13,6602.44,6224.27,-378.16999999999916,-0.05727730960069303,14,stop_loss,1.0
TCS,2024-01-17,2024-03-18,1698.88,1801.13,5,8494.400000000001,9005.650000000001,511.25,0.06018671124505556,61,time_based_exit,0.4
HINDUNILVR,2024-02-21,2024-03-21,3083.98,3233.91,2,6167.96,6467.82,299.8599999999997,0.04861574977788437,29,trend_reversal,0.6
RELIANCE,2024-03-13,2024-03-29,1976.7,1825.6,3,5930.1,5476.799999999999,-453.3000000000011,-0.0764405322001316,16,stop_loss,1.0
HINDUNILVR,2024-04-02,2024-04-08,3502.88,3323.03,2,7005.76,6646.06,-359.6999999999998,-0.05134346594801989,6,stop_loss,1.0
TCS,2024-03-19,2024-04-09,1842.7,2176.86,4,7370.8,8707.44,1336.6400000000003,0.181342595105009,21,target_achieved,1.0
INFY,2024-03-28,2024-04-09,515.22,478.4,15,7728.3,7176.0,-552.3000000000002,-0.07146461705679137,12,stop_loss,1.0
HDFCBANK,2024-04-01,2024-04-17,715.85,752.02,10,7158.5,7520.2,361.6999999999998,0.050527345114199845,16,technical_exit_stoch_rsi_overbought+rsi_overbought,0.8999999999999999
HINDUNILVR,2024-04-10,2024-04-18,3369.26,3189.13,2,6738.52,6378.26,-360.2600000000002,-0.05346277817681037,8,stop_loss,1.0
HDFCBANK,2024-04-18,2024-04-23,741.49,687.33,11,8156.39,7560.63,-595.7600000000002,-0.07304211789774638,5,stop_loss,1.0
INFY,2024-04-18,2024-04-25,517.7,477.31,15,7765.500000000001,7159.65,-605.8500000000013,-0.07801815723391933,7,stop_loss,1.0
TCS,2024-04-26,2024-05-08,2369.5,2730.74,3,7108.5,8192.22,1083.7199999999993,0.15245410424140104,12,target_achieved,1.0
INFY,2024-05-01,2024-05-08,497.01,577.06,15,7455.15,8655.9,1200.75,0.1610631576829439,7,target_achieved,1.0
TCS,2024-05-09,2024-05-10,2783.5,2621.0,3,8350.5,7863.0,-487.5,-0.058379737740255074,1,stop_loss,1.0
RELIANCE,2024-05-17,2024-06-11,1680.62,1739.66,4,6722.48,6958.64,236.16000000000076,0.0351298925396581,25,trend_reversal,0.6
HDFCBANK,2024-05-15,2024-06-13,668.67,776.61,11,7355.37,8542.710000000001,1187.340000000001,0.16142491812104634,29,target_achieved,1.0
HINDUNILVR,2024-04-30,2024-06-13,3295.11,3082.28,2,6590.22,6164.56,-425.65999999999985,-0.06458964951094194,44,stop_loss,1.0
INFY,2024-05-27,2024-06-25,660.24,616.79,9,5942.16,5551.11,-391.0500000000002,-0.06580940264146377,29,stop_loss,1.0
HINDUNILVR,2024-06-21,2024-07-03,3293.16,3497.83,2,6586.32,6995.66,409.34000000000015,0.062150032187928944,12,technical_exit_stoch_rsi_overbought+rsi_overbought,0.8999999999999999
RELIANCE,2024-07-02,2024-07-04,1673.52,1557.65,4,6694.08,6230.6,-463.47999999999956,-0.06923729623786981,2,stop_loss,1.0
TCS,2024-05-13,2024-07-08,2636.15,2502.9,3,7908.450000000001,7508.700000000001,-399.75,-0.05054719951444341,56,stop_loss,1.0
HDFCBANK,2024-06-19,2024-07-11,780.96,898.74,10,7809.6,8987.4,1177.7999999999993,0.15081438229870925,22,target_achieved,1.0
HINDUNILVR,2024-07-04,2024-07-12,3547.22,3327.27,2,7094.44,6654.54,-439.89999999999964,-0.06200630352783302,8,stop_loss,1.0
RELIANCE,2024-07-15,2024-07-17,1633.57,1535.55,4,6534.28,6142.2,-392.0799999999999,-0.060003550505947086,2,stop_loss,1.0
HDFCBANK,2024-07-12,2024-07-18,922.88,873.91,8,7383.04,6991.28,-391.7600000000002,-0.053062153259362026,6,stop_loss,1.0
INFY,2024-07-05,2024-07-25,636.73,728.03,11,7004.030000000001,8008.33,1004.2999999999993,0.1433888775462126,20,technical_exit_stoch_rsi_overbought+rsi_overbought,0.8999999999999999
RELIANCE,2024-07-22,2024-08-02,1634.92,1489.01,5,8174.6,7445.05,-729.5500000000002,-0.0892459569887212,11,stop_loss,1.0
INFY,2024-07-29,2024-08-05,730.03,675.39,11,8030.33,7429.29,-601.04,-0.07484623919564948,7,stop_loss,1.0
TCS,2024-07-30,2024-08-09,2628.33,2967.51,2,5256.66,5935.02,678.3600000000006,0.12904772231797387,10,technical_exit_stoch_rsi_overbought+rsi_overbought,0.8999999999999999
HINDUNILVR,2024-08-22,2024-08-27,2621.32,2489.97,3,7863.960000000001,7469.91,-394.0500000000011,-0.05010834236186362,5,stop_loss,1.0
HDFCBANK,2024-08-16,2024-08-29,848.05,975.77,11,9328.55,10733.47,1404.92,0.1506043275750251,13,target_achieved,1.0
INFY,2024-08-26,2024-08-29,668.12,626.77,11,7349.32,6894.469999999999,-454.85000000000036,-0.06189007962641445,3,stop_loss,1.0
HINDUNILVR,2024-08-29,2024-09-05,2545.3,2718.84,3,7635.900000000001,8156.52,520.6199999999999,0.0681805681059207,7,technical_exit_stoch_rsi_overbought+rsi_overbought,0.8999999999999999
INFY,2024-09-09,2024-09-11,667.67,630.94,11,7344.37,6940.34,-404.02999999999975,-0.05501220662902318,2,stop_loss,1.0
HDFCBANK,2024-09-05,2024-09-24,948.57,893.3,9,8537.130000000001,8039.7,-497.4300000000012,-0.058266654016045305,19,stop_loss,1.0
RELIANCE,2024-09-27,2024-10-01,990.62,935.84,7,6934.34,6550.88,-383.46000000000004,-0.055298701823100656,4,stop_loss,1.0
TCS,2024-09-16,2024-10-03,3371.67,3199.49,2,6743.34,6398.98,-344.3600000000006,-0.051066682089291146,17,stop_loss,1.0
INFY,2024-09-12,2024-10-09,643.31,743.69,12,7719.719999999999,8924.28,1204.5600000000013,0.15603674744679877,27,target_achieved,1.0
RELIANCE,2024-10-03,2024-10-10,961.49,1109.43,7,6730.43,7766.01,1035.58,0.15386535481388267,7,target_achieved,1.0
HINDUNILVR,2024-09-06,2024-10-10,2703.07,2911.81,3,8109.210000000001,8735.43,626.2199999999993,0.07722330535280247,34,technical_exit_stoch_rsi_overbought+rsi_overbought,0.8999999999999999
INFY,2024-10-10,2024-10-14,775.14,713.49,11,8526.539999999999,7848.39,-678.1499999999987,-0.07953401966096445,4,stop_loss,1.0
RELIANCE,2024-10-11,2024-10-15,1086.86,996.1,8,8694.88,7968.8,-726.079999999999,-0.0835066153874463,4,stop_loss,1.0
RELIANCE,2024-10-16,2024-10-18,1048.28,988.56,7,7337.96,6919.92,-418.03999999999996,-0.056969511962452805,2,stop_loss,1.0
INFY,2024-10-15,2024-10-22,689.32,631.73,12,8271.84,7580.76,-691.0799999999999,-0.08354610340625548,7,stop_loss,1.0
RELIANCE,2024-10-21,2024-10-23,1049.16,989.83,7,7344.120000000001,6928.81,-415.3100000000004,-0.05655000190628697,2,stop_loss,1.0
HINDUNILVR,2024-10-11,2024-10-31,2832.38,2733.13,2,5664.76,5466.26,-198.5,-0.035041202098588464,20,end_of_backtest,0.5
HDFCBANK,2024-10-17,2024-10-31,849.95,809.81,8,6799.6,6478.48,-321.1200000000008,-0.04722630742984893,14,end_of_backtest,0.5
